Asset Number,Asset Description,Building,Floor,Department,Room,Condition,Status,Notes
TR118*002490,"COMPUTER, CPU(HP ProDesk 400 G5 MT,corei7-8700)",PHASE III,1 FLOOR ,HDU,CUBE 1,GOOD,Active,
TR118*002291,"COMPUTER, CPU, (HP  290 G4 MICROTOWER PC,corei7-10700 cpu)",PHASE III,1 FLOOR ,LAB,INCHARGE OFFICE,GOOD,Active,
TR118*002256,"COMPUTER, CPU, (HP 290 G4 Microtower,corei7-10700 cpu)",PHASE III,2 FLOOR,2A,INCHARGE OFFICE,NEW,Active,
TR118*000453,"Computer, CPU, Acer Veriton M290, SN: BTVBJIM0092070650D9600",MOI PHASE I &II,FIRST FLOOR,DOT,ROOM NO 201,GOOD,Active,
TR118*001594,"Computer, CPU, DEL, SN. CVWSV02",PHASE I& II,GROUND,DCSS,X-RAY ROOM,Good,Active,
TR118*000495,"Computer, CPU, Dell D1018M, SN: B9T8WL2",MOI PHASE I &II,FIRST FLOOR,DAHRM,ROOM 228: REGISTRY,GOOD,Active,
TR118*000645,"Computer, CPU, Dell D12M, core i3, SN: GQ4JYX1",MOI PHASE I &II,FIRST FLOOR,DFP,ROOM NO 232,GOOD,Active,
TR118*000518,"Computer, CPU, Dell D18M, core i5, SN: BHB5WL2",MOI PHASE I &II,FIRST FLOOR,DAHRM,CONFEDENTAL OFFICE,GOOD,Active,
TR118*000608,"Computer, CPU, Dell D19M, core i7, SN:21FD8F2",MOI PHASE I &II,FIRST FLOOR,DAHRM,266 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*005109,"Computer, CPU, Dell Optiplex 9020, core i7, SN: 2G6LV42",MOI PHASE I &II,FIRST FLOOR,TEEM,ROOM 216,GOOD,Active,
TR118*000614,"Computer, CPU, Dell Optplex 7040, core i7, SN: 1S7L8F2",MOI PHASE I &II,FIRST FLOOR,DAHRM,272 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000618,"Computer, CPU, Dell Optplex 7040, core i7, SN: 1T5F8F2",MOI PHASE I &II,FIRST FLOOR,DAHRM,276 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000682,"Computer, CPU, Dell Optplex 9020, core i7, SN: J7PFV42",MOI PHASE I &II,FIRST FLOOR,DFP,CASHIER OFFICE ROOM 230,GOOD,Active,
TR118*000087,"Computer, CPU, Dell Optplex 9020, INTEL CORE i5, SN: 1788180926",MOI PHASE I &II,FIRST FLOOR,PHYSIO,RECEPTION,GOOD,Active,
TR118*000092,"Computer, CPU, Dell Optplex 9020, INTEL CORE i5, SN: 858C8C2",MOI PHASE I &II,FIRST FLOOR,PHYSIO,RECEPTION,FAIR,Active,
TR118*001370,"Computer, CPU, DELL SN 1Q7MMK2",PHASE I& II,GROUND,DNS,113,Fair,Active,
TR118*000606,"Computer, CPU, Dell Vostro 3888, core i7, SN: 2VHNSK3",MOI PHASE I &II,FIRST FLOOR,DAHRM,264 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000368,"Computer, CPU, Dell Vostro D29M, core i3, SN: 2BHMCJ3",MOI PHASE I &II,FIRST FLOOR,DOT,DOCTOR'S ROOM TEAM A,NEW,Active,
TR118*000555,"Computer, CPU, Dell Vostro D29M, core i3, SN: 9THNSK3",MOI PHASE I &II,FIRST FLOOR,DAHRM,HRM,GOOD,Active,
TR118*005937,"Computer, CPU, Dell, SN ",PHASE I& II,GROUND,DCSS,I/C Office Sterilization,V.Good,Active,
TR118*005994,"Computer, CPU, Dell, SN 1TTK8F2",PHASE I& II,GROUND,DCSS,Sterilization,V.Good,Active,
TR118*001903,"Computer, CPU, Dell, SN CM12KZ1",PHASE I& II,GROUND,DCSS,OT Manager,V.Good,Active,
TR118*001810,"Computer, CPU, Dell, SN CN- 02HTXX-70163-47N-01FB-A00",PHASE I& II,GROUND,TEEM,136,Good,Active,
TR118*005935,"Computer, CPU, Dell, SN GSHMSK3",PHASE I& II,GROUND,DCSS,TEA ROOM,V.Good,Active,
TR118*001939,"Computer, CPU, Dell, SN IV3F8F2",PHASE I& II,GROUND,DCSS,OT Pharmacy,V.Good,Active,
TR118*001058,"Computer, CPU, Dell, SN RCP1N3115-0385",PHASE I& II,GROUND,DCSS,Community Pharmacy,Good,Active,
TR118*008834,"Computer, CPU, DELL, SN. 1QYLMK2",CONTAINER,FIRST FROOL,DNS,SOCIAL WALFARE,Fair,Active,
TR118*000999,"Computer, CPU, DELL, SN. 851M8C2",PHASE I& II,GROUND,DFP,105,Fair,Active,
TR118*001312,"Computer, CPU, DELL, SN. BC7CWL2",PHASE I& II,GROUND,DFP,112,Good,Active,
TR118*001678,"Computer, CPU, DELL, SN. CKDJ7K2",PHASE I& II,GROUND,TEEM,137,Poor,Active,
TR118*001314,"Computer, CPU, DELL, SN. CN64112",PHASE I& II,GROUND,DFP,112,Good,Active,
